date,hour,visitors,tickets_online,tickets_offline,revenue_tickets,revenue_gastro,revenue_parking,facility_zone,notes
2025-10-26,9,51,31,20,1856.42,618.37,315.3,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-26,10,54,33,21,2312.67,1160.49,158.47,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-26,11,61,37,24,2165.39,980.57,160.59,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-26,12,73,45,28,2568.24,1321.18,381.4,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-26,13,83,51,32,3730.92,754.55,541.91,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-26,14,98,60,38,4230.68,1348.82,321.18,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-26,15,89,55,34,2980.07,921.51,599.63,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-26,16,70,43,27,2916.17,1420.99,430.41,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-26,17,43,26,17,1636.43,719.33,285.82,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-26,18,51,31,20,2136.71,1074.26,274.72,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-26,19,51,31,20,1817.96,665.62,147.85,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-26,20,48,29,19,1714.78,499.87,186.71,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-27,9,31,16,15,1175.61,369.93,118.88,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-27,10,33,17,16,1550.55,596.39,183.01,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-27,11,44,22,22,1523.04,629.74,327.7,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-27,12,55,28,27,2323.2,923.85,325.77,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-27,13,59,30,29,2104.22,557.51,240.56,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-27,14,46,23,23,1669.06,549.87,331.87,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-27,15,57,29,28,2421.76,828.71,403.15,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-27,16,43,22,21,1691.69,546.46,160.52,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-27,17,37,19,18,1530.07,798.07,166.39,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-27,18,35,18,17,1242.82,803.79,176.67,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-27,19,35,18,17,1181.4,622.45,226.11,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-27,20,33,17,16,1278.9,326.35,145.47,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-28,9,39,20,19,1853.95,820.99,99.74,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-28,10,36,18,18,1567.14,667.58,186.65,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-28,11,40,20,20,1351.39,603.47,190.74,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-28,12,56,29,27,2646.62,1190.67,213.75,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-28,13,49,25,24,2283.5,1038.18,195.62,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-28,14,56,29,27,2364.5,981.43,182.79,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-28,15,54,28,26,2400.73,886.95,135.15,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-28,16,40,20,20,1487.46,370.91,285.82,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-28,17,48,24,24,1772.17,470.93,330.72,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-28,18,31,16,15,1461.69,316.17,152.83,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-28,19,40,20,20,1770.13,431.9,195.06,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-28,20,36,18,18,1468.69,457.59,247.04,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-29,9,32,16,16,1300.12,615.01,112.18,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-29,10,38,19,19,1405.52,871.42,218.48,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-29,11,36,18,18,1221.7,437.25,150.86,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-29,12,50,26,24,2070.65,611.08,180.05,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-29,13,62,32,30,2211.11,1343.9,421.49,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-29,14,60,31,29,1988.02,739.92,350.69,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-29,15,54,28,26,2536.28,917.71,262.62,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-29,16,51,26,25,2272.25,1035.55,176.05,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-29,17,46,23,23,1783.75,714.76,282.69,mixed,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-29,18,39,20,19,1668.18,888.35,116.69,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
2025-10-29,19,31,16,15,1419.39,386.92,106.98,indoor,DEMO synthetic attendance for Welcome to AIrlines MVP
