date,venue_slug,visitors,visitors_low,visitors_base,visitors_high,weather_risk,forecast_confidence,demand_signal_score,trend_signal_score,event_impact_score,holiday_impact_score,seasonality_score,weather_impact_score,notes,is_calibrated_demo
2022-01-01,aquapark_fala,4432,3723,4432,5141,medium,0.72,53.77,54.0,0.0,22.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-02,aquapark_fala,4038,3392,4038,4684,medium,0.72,56.37,54.0,0.0,2.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-03,aquapark_fala,1954,1641,1954,2267,medium,0.72,40.37,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-04,aquapark_fala,1954,1641,1954,2267,medium,0.72,40.37,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-05,aquapark_fala,2054,1725,2054,2383,medium,0.72,41.17,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-06,aquapark_fala,2690,2260,2690,3120,medium,0.72,42.37,54.0,0.0,22.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-07,aquapark_fala,2606,2189,2606,3023,medium,0.72,45.57,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-08,aquapark_fala,3705,3112,3705,4298,medium,0.72,53.77,54.0,0.0,2.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-09,aquapark_fala,4038,3392,4038,4684,medium,0.72,56.37,54.0,0.0,2.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-10,aquapark_fala,1954,1641,1954,2267,medium,0.72,40.37,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-11,aquapark_fala,1954,1641,1954,2267,medium,0.72,40.37,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-12,aquapark_fala,2054,1725,2054,2383,medium,0.72,41.17,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-13,aquapark_fala,2205,1852,2205,2558,medium,0.72,42.37,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-14,aquapark_fala,2606,2189,2606,3023,medium,0.72,45.57,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-15,aquapark_fala,3705,3112,3705,4298,medium,0.72,53.77,54.0,0.0,2.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-16,aquapark_fala,4038,3392,4038,4684,medium,0.72,56.37,54.0,0.0,2.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-17,aquapark_fala,1954,1641,1954,2267,medium,0.72,40.37,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
2022-01-18,aquapark_fala,1954,1641,1954,2267,medium,0.72,40.37,54.0,0.0,0.0,13.04,3.0,"Calibrated demo attendance, not internal ticketing data. Non-anchored days scaled toward annual benchmark 1,500,000.",True
